# Per-city monthly history, built by scripts/import-rdc-history.mjs from
# Realtor.com's ZIP history file. One row per city per month.
# Aggregated identically to the current month (scripts/rdc-shared.mjs).
# zipCount is how many ZIPs reported that month; a change in it can move the
# median for reasons that have nothing to do with the market.
# Columns: slug,month,medianPrice,pricePerSqft,daysOnMarket,activeListings,zipCount
slug,month,medianPrice,pricePerSqft,daysOnMarket,activeListings,zipCount
wauwatosa,202106,294900,179,23,80,1
wauwatosa,202107,309900,183,23,78,1
wauwatosa,202108,309925,180,28,75,1
wauwatosa,202109,314750,184,29,71,1
wauwatosa,202110,316000,182,34,75,1
wauwatosa,202111,289925,180,30,70,1
wauwatosa,202112,299925,184,42,52,1
wauwatosa,202201,297450,172,50,31,1
wauwatosa,202202,299900,190,26,33,1
wauwatosa,202203,337400,203,19,39,1
wauwatosa,202204,325000,204,23,40,1
wauwatosa,202205,359974,205,15,40,1
wauwatosa,202206,389900,213,22,50,1
wauwatosa,202207,379900,202,24,45,1
wauwatosa,202208,358650,201,27,48,1
wauwatosa,202209,349675,202,31,44,1
wauwatosa,202210,359900,196,28,47,1
wauwatosa,202211,357400,206,34,40,1
wauwatosa,202212,304900,200,51,27,1
wauwatosa,202301,285925,205,56,17,1
wauwatosa,202302,362400,209,19,17,1
wauwatosa,202303,389900,213,20,19,1
wauwatosa,202304,389900,223,21,22,1
wauwatosa,202305,391675,223,20,27,1
wauwatosa,202306,389950,228,21,33,1
wauwatosa,202307,394950,220,28,26,1
wauwatosa,202308,343675,216,17,28,1
wauwatosa,202309,384900,220,23,33,1
wauwatosa,202310,384900,214,26,30,1
wauwatosa,202311,377175,209,21,33,1
wauwatosa,202312,402450,213,35,20,1
wauwatosa,202401,392800,210,39,18,1
wauwatosa,202402,449900,243,35,18,1
wauwatosa,202403,382500,228,16,29,1
wauwatosa,202404,397175,233,26,29,1
wauwatosa,202405,409900,232,19,35,1
wauwatosa,202406,411950,229,25,35,1
wauwatosa,202407,399950,234,16,36,1
wauwatosa,202408,389900,235,24,45,1
wauwatosa,202409,389850,230,22,40,1
wauwatosa,202410,386225,229,23,45,1
wauwatosa,202411,392000,230,33,37,1
wauwatosa,202412,389350,230,29,23,1
wauwatosa,202501,383850,216,34,21,1
wauwatosa,202502,389700,228,25,25,1
wauwatosa,202503,429900,242,22,29,1
wauwatosa,202504,409950,233,21,29,1
wauwatosa,202505,435000,243,22,34,1
wauwatosa,202506,438975,240,22,40,1
wauwatosa,202507,399700,250,26,32,1
wauwatosa,202508,399000,246,20,33,1
wauwatosa,202509,397900,237,20,51,1
wauwatosa,202510,369400,234,29,49,1
wauwatosa,202511,349950,243,32,31,1
wauwatosa,202512,369725,232,47,23,1
wauwatosa,202601,399900,256,34,17,1
wauwatosa,202602,467400,242,25,26,1
wauwatosa,202603,425000,242,20,30,1
wauwatosa,202604,404675,239,26,28,1
wauwatosa,202605,399900,249,26,38,1
wauwatosa,202606,409925,253,25,33,1
west-allis,201607,124900,99,52,154,1
west-allis,201608,124975,99,56,143,1
west-allis,201609,125375,97,64,136,1
west-allis,201610,125000,99,58,134,1
west-allis,201611,123900,99,53,134,1
west-allis,201612,119900,95,65,117,1
west-allis,201701,118450,95,74,101,1
west-allis,201702,120200,98,67,103,1
west-allis,201703,127375,101,47,119,1
west-allis,201704,129900,105,36,134,1
west-allis,201705,129963,109,37,129,1
west-allis,201706,129975,109,36,131,1
west-allis,201707,134900,107,42,122,1
west-allis,201708,135937,109,37,124,1
west-allis,201709,139900,110,39,120,1
west-allis,201710,137925,109,43,121,1
west-allis,201711,133500,107,48,111,1
west-allis,201712,131700,106,59,97,1
west-allis,201801,129900,104,70,85,1
west-allis,201802,130950,104,54,77,1
west-allis,201803,135000,107,35,82,1
west-allis,201804,139000,105,37,76,1
west-allis,201805,139900,109,23,81,1
west-allis,201806,142250,112,30,91,1
west-allis,201807,141050,113,33,87,1
west-allis,201808,141050,110,29,103,1
west-allis,201809,139900,109,33,104,1
west-allis,201810,138800,109,41,106,1
west-allis,201811,134900,108,45,98,1
west-allis,201812,136200,109,54,83,1
west-allis,201901,134900,112,62,62,1
west-allis,201902,137500,114,64,63,1
west-allis,201903,135893,114,40,62,1
west-allis,201904,126875,109,35,59,1
west-allis,201905,151925,115,21,63,1
west-allis,201906,159900,118,27,72,1
west-allis,201907,157063,121,29,73,1
west-allis,201908,151441,122,29,78,1
west-allis,201909,149927,121,30,80,1
west-allis,201910,148975,121,31,81,1
west-allis,201911,144950,119,41,74,1
west-allis,201912,147000,121,45,56,1
west-allis,202001,146200,120,52,52,1
west-allis,202002,145000,123,38,50,1
west-allis,202003,146150,127,37,56,1
west-allis,202004,140000,121,32,54,1
west-allis,202005,157450,120,30,55,1
west-allis,202006,158825,123,26,67,1
west-allis,202007,159950,123,26,71,1
west-allis,202008,162400,119,27,75,1
west-allis,202009,163650,127,29,84,1
west-allis,202010,162450,131,32,75,1
west-allis,202011,159900,130,31,72,1
west-allis,202012,159900,128,38,54,1
west-allis,202101,172400,135,45,41,1
west-allis,202102,159900,140,30,41,1
west-allis,202103,175375,138,25,46,1
west-allis,202104,177225,137,26,49,1
west-allis,202105,179450,139,22,64,1
west-allis,202106,181500,139,22,66,1
west-allis,202107,179900,140,24,70,1
west-allis,202108,185975,143,29,74,1
west-allis,202109,183725,144,29,81,1
west-allis,202110,179450,142,30,76,1
west-allis,202111,179825,142,30,62,1
west-allis,202112,175000,140,40,47,1
west-allis,202201,179900,151,45,31,1
west-allis,202202,176700,146,25,33,1
west-allis,202203,176425,146,19,42,1
west-allis,202204,174900,147,23,56,1
west-allis,202205,187425,145,23,55,1
west-allis,202206,197450,150,22,61,1
west-allis,202207,194900,150,29,72,1
west-allis,202208,199475,162,36,48,1
west-allis,202209,199925,167,33,42,1
west-allis,202210,219950,157,23,37,1
west-allis,202211,228725,162,27,39,1
west-allis,202212,219900,159,36,22,1
west-allis,202301,198425,159,18,27,1
west-allis,202302,189800,152,24,31,1
west-allis,202303,191075,164,29,31,1
west-allis,202304,199000,164,21,24,1
west-allis,202305,199450,154,23,30,1
west-allis,202306,212400,163,17,32,1
west-allis,202307,212450,164,22,50,1
west-allis,202308,216950,179,24,40,1
west-allis,202309,219900,182,23,38,1
west-allis,202310,219225,174,25,43,1
west-allis,202311,215000,172,29,29,1
west-allis,202312,219950,175,28,23,1
west-allis,202401,224725,177,35,17,1
west-allis,202402,224725,187,25,17,1
west-allis,202403,229000,191,16,29,1
west-allis,202404,220000,198,21,37,1
west-allis,202405,222475,189,27,36,1
west-allis,202406,249900,189,16,42,1
west-allis,202407,254200,200,24,41,1
west-allis,202408,239900,189,23,43,1
west-allis,202409,252400,196,24,34,1
west-allis,202410,239675,197,24,37,1
west-allis,202411,239900,189,24,41,1
west-allis,202412,239900,181,39,37,1
west-allis,202501,240925,185,35,28,1
west-allis,202502,237475,195,26,22,1
west-allis,202503,235000,202,24,23,1
west-allis,202504,249900,199,22,29,1
west-allis,202505,254500,194,18,42,1
west-allis,202506,265475,199,22,45,1
west-allis,202507,270925,201,24,49,1
west-allis,202508,263950,205,25,51,1
west-allis,202509,265000,202,24,49,1
west-allis,202510,259925,202,29,50,1
west-allis,202511,259900,197,38,44,1
west-allis,202512,252400,195,51,35,1
west-allis,202601,257400,197,44,27,1
west-allis,202602,264950,203,26,32,1
west-allis,202603,266175,211,24,30,1
west-allis,202604,273650,216,29,30,1
west-allis,202605,269900,217,24,32,1
west-allis,202606,252475,214,24,40,1
greenfield,201607,145400,111,45,94,1
greenfield,201608,149925,111,47,86,1
greenfield,201609,151995,113,42,95,1
greenfield,201610,152900,112,44,82,1
greenfield,201611,149250,107,54,73,1
greenfield,201612,149950,105,58,58,1
greenfield,201701,153650,105,55,56,1
greenfield,201702,144700,105,58,54,1
greenfield,201703,154500,107,32,59,1
greenfield,201704,154900,107,30,77,1
greenfield,201705,168150,111,33,80,1
greenfield,201706,167400,116,41,79,1
greenfield,201707,159900,113,33,87,1
greenfield,201708,159900,118,37,84,1
greenfield,201709,159900,123,38,74,1
greenfield,201710,159900,123,41,80,1
greenfield,201711,151225,122,47,84,1
greenfield,201712,149900,120,65,63,1
greenfield,201801,158175,121,88,49,1
greenfield,201802,159675,119,70,47,1
greenfield,201803,159900,118,35,64,1
greenfield,201804,153975,119,27,75,1
greenfield,201805,152998,120,28,79,1
greenfield,201806,163900,124,31,64,1
greenfield,201807,164975,127,27,72,1
greenfield,201808,171150,126,32,74,1
greenfield,201809,174900,128,37,77,1
greenfield,201810,163125,123,39,68,1
greenfield,201811,158950,123,39,66,1
greenfield,201812,156850,130,44,43,1
greenfield,201901,153275,130,34,40,1
greenfield,201902,149900,123,30,42,1
greenfield,201903,164485,127,32,50,1
greenfield,201904,186111,131,31,56,1
greenfield,201905,178675,130,29,61,1
greenfield,201906,174900,129,30,62,1
greenfield,201907,168000,126,27,64,1
greenfield,201908,170791,130,30,68,1
greenfield,201909,173102,130,30,72,1
greenfield,201910,174643,129,32,71,1
greenfield,201911,174900,126,37,65,1
greenfield,201912,169800,122,47,55,1
greenfield,202001,162250,123,54,41,1
greenfield,202002,161450,134,37,40,1
greenfield,202003,169900,133,34,46,1
greenfield,202004,189150,134,37,39,1
greenfield,202005,194450,138,28,40,1
greenfield,202006,196175,136,22,68,1
greenfield,202007,189900,139,34,74,1
greenfield,202008,189900,139,29,65,1
greenfield,202009,189925,135,27,69,1
greenfield,202010,194900,136,25,66,1
greenfield,202011,189900,144,31,63,1
greenfield,202012,188250,139,39,52,1
greenfield,202101,189450,135,43,39,1
greenfield,202102,189675,136,45,35,1
greenfield,202103,209675,153,29,35,1
greenfield,202104,219675,153,23,45,1
greenfield,202105,219900,158,22,55,1
greenfield,202106,206175,154,25,71,1
greenfield,202107,210000,155,23,78,1
greenfield,202108,219900,156,29,74,1
greenfield,202109,214950,159,30,78,1
greenfield,202110,214900,156,36,71,1
greenfield,202111,214974,161,35,62,1
greenfield,202112,219900,161,45,50,1
greenfield,202201,232450,161,45,28,1
greenfield,202202,225000,160,30,22,1
greenfield,202203,225000,163,23,23,1
greenfield,202204,229900,158,16,36,1
greenfield,202205,248300,161,24,35,1
greenfield,202206,242150,163,20,40,1
greenfield,202207,239900,165,23,51,1
greenfield,202208,228900,164,27,44,1
greenfield,202209,229950,160,25,35,1
greenfield,202210,252450,168,23,40,1
greenfield,202211,224925,167,29,36,1
greenfield,202212,236450,162,28,28,1
greenfield,202301,241175,170,38,19,1
greenfield,202302,242450,205,34,17,1
greenfield,202303,243700,163,22,18,1
greenfield,202304,250000,171,16,25,1
greenfield,202305,247900,174,25,31,1
greenfield,202306,266150,188,26,19,1
greenfield,202307,269900,179,25,16,1
greenfield,202308,272425,175,18,27,1
greenfield,202309,252450,192,22,28,1
greenfield,202310,248500,183,34,23,1
greenfield,202311,242225,178,26,20,1
greenfield,202312,252200,183,26,21,1
greenfield,202401,275000,182,35,14,1
greenfield,202402,249925,179,27,13,1
greenfield,202403,275000,179,22,13,1
greenfield,202404,269950,189,14,22,1
greenfield,202405,269900,193,23,29,1
greenfield,202406,272400,185,23,28,1
greenfield,202407,289400,192,23,26,1
greenfield,202408,279900,182,18,30,1
greenfield,202409,289913,194,24,33,1
greenfield,202410,283225,197,23,40,1
greenfield,202411,279900,196,31,33,1
greenfield,202412,292375,196,37,21,1
greenfield,202501,288725,199,45,20,1
greenfield,202502,282450,200,30,23,1
greenfield,202503,272450,187,23,27,1
greenfield,202504,290650,187,25,31,1
greenfield,202505,286325,199,27,33,1
greenfield,202506,281000,200,20,37,1
greenfield,202507,290925,202,29,39,1
greenfield,202508,304450,209,25,36,1
greenfield,202509,302125,214,29,34,1
greenfield,202510,286175,222,23,38,1
greenfield,202511,270000,206,36,32,1
greenfield,202512,269975,200,37,27,1
greenfield,202601,270000,200,38,28,1
greenfield,202602,263750,199,50,18,1
greenfield,202603,287400,206,21,23,1
greenfield,202604,307400,220,28,27,1
greenfield,202605,317450,219,24,33,1
greenfield,202606,318675,214,28,41,1
oak-creek,201607,225000,131,37,117,1
oak-creek,201608,229900,128,41,106,1
oak-creek,201609,227450,130,43,106,1
oak-creek,201610,244900,131,43,100,1
oak-creek,201611,239900,136,42,96,1
oak-creek,201612,214900,136,59,78,1
oak-creek,201701,215000,135,60,65,1
oak-creek,201702,217500,132,44,69,1
oak-creek,201703,229900,129,33,80,1
oak-creek,201704,229900,132,33,95,1
oak-creek,201705,259700,134,34,118,1
oak-creek,201706,259900,132,32,116,1
oak-creek,201707,239900,132,36,100,1
oak-creek,201708,231150,129,42,94,1
oak-creek,201709,234900,137,39,86,1
oak-creek,201710,223550,133,38,88,1
oak-creek,201711,224900,135,48,76,1
oak-creek,201712,239900,139,59,60,1
oak-creek,201801,249900,139,49,56,1
oak-creek,201802,237400,143,45,56,1
oak-creek,201803,244900,145,50,52,1
oak-creek,201804,244950,143,24,62,1
oak-creek,201805,243725,144,31,71,1
oak-creek,201806,249900,145,28,95,1
oak-creek,201807,259900,146,31,89,1
oak-creek,201808,263650,146,33,97,1
oak-creek,201809,259900,139,42,92,1
oak-creek,201810,250000,144,48,83,1
oak-creek,201811,264750,148,42,66,1
oak-creek,201812,264750,150,57,55,1
oak-creek,201901,262475,155,56,54,1
oak-creek,201902,265000,152,42,66,1
oak-creek,201903,264226,148,38,70,1
oak-creek,201904,272498,144,35,79,1
oak-creek,201905,274950,147,34,87,1
oak-creek,201906,269900,150,32,100,1
oak-creek,201907,273175,147,35,101,1
oak-creek,201908,272209,147,37,100,1
oak-creek,201909,268098,149,39,98,1
oak-creek,201910,265357,149,42,94,1
oak-creek,201911,269900,150,48,76,1
oak-creek,201912,247400,152,59,55,1
oak-creek,202001,252400,152,53,58,1
oak-creek,202002,269700,159,37,64,1
oak-creek,202003,269900,163,32,69,1
oak-creek,202004,279675,162,35,68,1
oak-creek,202005,277000,158,30,76,1
oak-creek,202006,276000,157,31,79,1
oak-creek,202007,274925,158,31,77,1
oak-creek,202008,287450,159,29,74,1
oak-creek,202009,277450,155,30,75,1
oak-creek,202010,272400,155,32,68,1
oak-creek,202011,249950,158,33,63,1
oak-creek,202012,252500,171,41,49,1
oak-creek,202101,249900,168,47,47,1
oak-creek,202102,242425,162,37,39,1
oak-creek,202103,299900,158,25,37,1
oak-creek,202104,298675,151,22,39,1
oak-creek,202105,324900,161,22,47,1
oak-creek,202106,319900,166,24,57,1
oak-creek,202107,300000,166,22,78,1
oak-creek,202108,307450,173,28,96,1
oak-creek,202109,316250,171,37,89,1
oak-creek,202110,329900,175,50,78,1
oak-creek,202111,334950,177,48,65,1
oak-creek,202112,374975,200,39,45,1
oak-creek,202201,404950,201,57,37,1
oak-creek,202202,410000,216,22,42,1
oak-creek,202203,449950,228,31,49,1
oak-creek,202204,435750,223,35,63,1
oak-creek,202205,436363,228,36,67,1
oak-creek,202206,399925,210,38,76,1
oak-creek,202207,399900,211,36,85,1
oak-creek,202208,428000,220,37,88,1
oak-creek,202209,429900,225,45,84,1
oak-creek,202210,449900,248,58,78,1
oak-creek,202211,456225,259,62,85,1
oak-creek,202212,480500,270,58,77,1
oak-creek,202301,501500,289,86,66,1
oak-creek,202302,495000,279,67,67,1
oak-creek,202303,505975,285,43,63,1
oak-creek,202304,515500,266,32,74,1
oak-creek,202305,467200,265,30,84,1
oak-creek,202306,471500,264,44,82,1
oak-creek,202307,455000,259,37,89,1
oak-creek,202308,451250,253,36,96,1
oak-creek,202309,469900,254,47,89,1
oak-creek,202310,475450,265,33,77,1
oak-creek,202311,478250,267,48,72,1
oak-creek,202312,495000,268,74,62,1
oak-creek,202401,498750,271,84,57,1
oak-creek,202402,465500,264,37,50,1
oak-creek,202403,450000,249,31,47,1
oak-creek,202404,434950,236,32,53,1
oak-creek,202405,451250,252,34,57,1
oak-creek,202406,447400,239,43,65,1
oak-creek,202407,449975,240,37,47,1
oak-creek,202408,450000,235,17,66,1
oak-creek,202409,448725,237,33,78,1
oak-creek,202410,450000,238,44,74,1
oak-creek,202411,424950,239,49,65,1
oak-creek,202412,454950,244,53,55,1
oak-creek,202501,472400,253,68,48,1
oak-creek,202502,478925,264,24,50,1
oak-creek,202503,469900,261,30,60,1
oak-creek,202504,454800,246,40,60,1
oak-creek,202505,443000,231,31,65,1
oak-creek,202506,449900,239,37,56,1
oak-creek,202507,438300,246,26,57,1
oak-creek,202508,437700,245,33,56,1
oak-creek,202509,432650,248,36,55,1
oak-creek,202510,429925,240,36,57,1
oak-creek,202511,429900,240,37,59,1
oak-creek,202512,441150,248,56,41,1
oak-creek,202601,439900,252,71,39,1
oak-creek,202602,444900,252,61,36,1
oak-creek,202603,430650,251,43,40,1
oak-creek,202604,413700,253,30,47,1
oak-creek,202605,424900,243,28,57,1
oak-creek,202606,439950,250,34,60,1
franklin,201607,252450,124,37,150,1
franklin,201608,239900,122,43,140,1
franklin,201609,240450,127,44,137,1
franklin,201610,245000,127,45,140,1
franklin,201611,249900,127,55,130,1
franklin,201612,279900,129,71,100,1
franklin,201701,301175,134,81,77,1
franklin,201702,285900,136,59,83,1
franklin,201703,289900,137,36,105,1
franklin,201704,293500,135,32,125,1
franklin,201705,287050,137,32,125,1
franklin,201706,280000,136,31,128,1
franklin,201707,284900,135,32,133,1
franklin,201708,271175,134,35,123,1
franklin,201709,259900,131,36,120,1
franklin,201710,273675,135,49,118,1
franklin,201711,279900,136,50,101,1
franklin,201712,279900,136,60,82,1
franklin,201801,269389,137,61,64,1
franklin,201802,268475,137,35,77,1
franklin,201803,292450,138,30,95,1
franklin,201804,292950,141,30,107,1
franklin,201805,296125,141,27,128,1
franklin,201806,289900,140,36,116,1
franklin,201807,297625,139,36,113,1
franklin,201808,299225,138,35,109,1
franklin,201809,296750,138,37,98,1
franklin,201810,288475,138,31,112,1
franklin,201811,287200,141,41,108,1
franklin,201812,289950,138,61,82,1
franklin,201901,292300,144,51,68,1
franklin,201902,298450,146,39,67,1
franklin,201903,299400,145,38,79,1
franklin,201904,314500,143,36,97,1
franklin,201905,304950,140,31,113,1
franklin,201906,295000,142,30,129,1
franklin,201907,299925,144,35,127,1
franklin,201908,311064,145,34,130,1
franklin,201909,297809,146,36,132,1
franklin,201910,291423,146,38,134,1
franklin,201911,292400,143,49,108,1
franklin,201912,296225,143,63,87,1
franklin,202001,312000,146,63,78,1
franklin,202002,314400,146,43,83,1
franklin,202003,300000,148,31,97,1
franklin,202004,304900,148,33,101,1
franklin,202005,325000,153,40,102,1
franklin,202006,347150,154,36,124,1
franklin,202007,369450,160,34,134,1
franklin,202008,359900,160,33,141,1
franklin,202009,344500,153,33,149,1
franklin,202010,315000,153,37,129,1
franklin,202011,323675,154,43,108,1
franklin,202012,319750,163,45,78,1
franklin,202101,342000,164,50,63,1
franklin,202102,352450,165,37,67,1
franklin,202103,346925,166,26,81,1
franklin,202104,328225,163,26,86,1
franklin,202105,326000,164,28,93,1
franklin,202106,359950,168,22,103,1
franklin,202107,372400,169,29,111,1
franklin,202108,358125,166,29,117,1
franklin,202109,349900,166,37,104,1
franklin,202110,349900,170,32,89,1
franklin,202111,349900,173,37,87,1
franklin,202112,327450,182,42,67,1
franklin,202201,334900,192,43,45,1
franklin,202202,399900,192,23,52,1
franklin,202203,416150,189,25,49,1
franklin,202204,414900,192,23,54,1
franklin,202205,399975,181,22,77,1
franklin,202206,399900,181,23,85,1
franklin,202207,397000,190,29,80,1
franklin,202208,437888,193,31,89,1
franklin,202209,447975,201,34,87,1
franklin,202210,429900,192,33,88,1
franklin,202211,384675,189,42,84,1
franklin,202212,429900,214,44,69,1
franklin,202301,438650,218,48,57,1
franklin,202302,428675,219,40,46,1
franklin,202303,437450,209,27,35,1
franklin,202304,422400,192,22,43,1
franklin,202305,401175,196,22,59,1
franklin,202306,399925,202,27,58,1
franklin,202307,424900,207,25,57,1
franklin,202308,429999,208,30,61,1
franklin,202309,445900,214,29,64,1
franklin,202310,417450,206,29,70,1
franklin,202311,397450,202,34,60,1
franklin,202312,399900,202,43,52,1
franklin,202401,424950,205,44,46,1
